Timestamp,Hostname,User_Account,Process_Name,Event_ID,Severity,Error_Code,Description,Network_Adapter,CPU_Load_%
2025-12-09 10:00:25,LPT-DAL-SARAH,CONTOSO\sarah.j,Outlook.exe,1001,INFO,0x0,Sync started.,Intel_Wi-Fi_6E,15
2025-12-09 10:01:10,LPT-NYC-BOB,CONTOSO\bob.m,Chrome.exe,100,INFO,0x0,Application started.,Realtek_GbE,12
2025-12-09 10:01:55,LPT-DAL-SARAH,CONTOSO\sarah.j,Teams.exe,100,INFO,0x0,Call established.,Intel_Wi-Fi_6E,22
2025-12-09 10:02:40,LPT-DAL-SARAH,CONTOSO\sarah.j,System,12,INFO,0x0,Time sync success.,Intel_Wi-Fi_6E,10
2025-12-09 10:03:25,LPT-DAL-SARAH,CONTOSO\sarah.j,OneDrive.exe,1001,INFO,0x0,File upload complete.,Intel_Wi-Fi_6E,18
2025-12-09 10:04:15,LPT-CHI-TOM,CONTOSO\tom.h,WindowsUpdate,19,INFO,0x0,Update check.,Intel_Wi-Fi_6E,35
2025-12-09 10:05:00,LPT-DAL-SARAH,CONTOSO\sarah.j,Teams.exe,100,INFO,0x0,Screen share started.,Intel_Wi-Fi_6E,45
2025-12-09 10:05:45,LPT-DAL-SARAH,CONTOSO\sarah.j,System,1,INFO,0x0,Power state change.,Intel_Wi-Fi_6E,12
2025-12-09 10:06:30,LPT-DAL-SARAH,CONTOSO\sarah.j,Security,4624,INFO,0x0,Privileged logon.,Intel_Wi-Fi_6E,15
2025-12-09 10:07:15,LPT-DAL-SARAH,CONTOSO\sarah.j,Outlook.exe,1001,INFO,0x0,Sync complete.,Intel_Wi-Fi_6E,14
2025-12-09 10:08:00,LPT-DAL-SARAH,CONTOSO\sarah.j,Teams.exe,100,INFO,0x0,Video active.,Intel_Wi-Fi_6E,28
2025-12-09 10:08:45,LPT-DAL-SARAH,CONTOSO\sarah.j,Chrome.exe,100,INFO,0x0,Page load success.,Intel_Wi-Fi_6E,20
2025-12-09 10:09:30,LPT-DAL-SARAH,CONTOSO\sarah.j,System,15,INFO,0x0,Disk cleanup.,Intel_Wi-Fi_6E,18
